full_text,retweet_count,user_followers_count,favorite_count,place,coordinates,geo,created_at,id_str
"COVID-19 Updates: 24 घंटे में 83 हजार 876 नए मामलों की पुष्टि, 895 मरीजों की हुई मौत https://t.co/jUHzB5IrSX via… https://t.co/5afmKnoJr3",0,9,0,,,,Mon Feb 07 09:11:57 +0000 2022,1490614299076685824
"RT @doctor_oxford: Thread/ This is Li Wenliang, the extraordinarily brave whistle-blowing Chinese doctor who died of Covid exactly two year…",0,2607,0,,,,Mon Feb 07 09:11:57 +0000 2022,1490614299206770689
Kronologi Penularan COVID-19 di SMPN 3 Sawit https://t.co/jqr9SVA4wr,0,141,0,,,,Mon Feb 07 09:11:57 +0000 2022,1490614299009687554
RT @LovedTooEasily: Eigenlijk had Hugo de Jonge het nog wel iets makkelijker dan Ernst Kuipers. Hugo kon 2 jaar geleden in het begin Covid…,0,134,0,,,,Mon Feb 07 09:11:57 +0000 2022,1490614299366199296
RT @FlukeiS: เด็กโดนน้ำร้อนลวกตรงอกกับท้อง  ไม่มารพ แต่ไปหาหมอเป่า มาด้วยแผลติดเชื้อ ไม่พอหมอเป่าดันเป็น COVID อีก อหหหห สงสารเด็ก,0,68,0,,,,Mon Feb 07 09:11:57 +0000 2022,1490614299395432451
"Betul, time duduk rumah teres dulu senang nak bagi anak lepas. Ni dah duduk flat rasa susah. Tapi kena lah bawah an… https://t.co/XoOSek3ctk",0,235,0,,,,Mon Feb 07 09:11:57 +0000 2022,1490614299492220930
"Never forget how i landed a lead role in a feature late 2019 and right before we were suppose to start filming, covid-19 pulled up LMAO",0,1544,0,,,,Mon Feb 07 09:11:58 +0000 2022,1490614299819008000
"RT @Linaguasca: A bones hores ho diuen 🤦🏼‍♀️
➡️Sanidad muestra ""dudas"" de vacunar a los niños contra la Covid por los efectos secundarios.…",0,5018,0,,,,Mon Feb 07 09:11:58 +0000 2022,1490614300016361478
"RT @BNODesk: 2 years ago today: Dr. Li Wenliang dies of COVID-19, more than a month after he was accused of spreading rumors about a virus…",0,100,0,,,,Mon Feb 07 09:11:58 +0000 2022,1490614300012322819
"豪、びっくりするほどすごく増えて、また減ってはいる。
https://t.co/2AOjayK83z",0,388,0,,,,Mon Feb 07 09:11:58 +0000 2022,1490614300184137729
RT @FlukeiS: เด็กโดนน้ำร้อนลวกตรงอกกับท้อง  ไม่มารพ แต่ไปหาหมอเป่า มาด้วยแผลติดเชื้อ ไม่พอหมอเป่าดันเป็น COVID อีก อหหหห สงสารเด็ก,0,302,0,,,,Mon Feb 07 09:11:58 +0000 2022,1490614300297232388
"RT @DrLiMengYAN1: In Chinese Medical Encyclopedia(Project of National Publication Foundation, 2020), SARS coronavirus is listed as biowarfa…",0,80,0,,,,Mon Feb 07 09:11:58 +0000 2022,1490614300448198656
RT @BNN_Breaking: #BTS’ #Jimin recovers from COVID-19; Discharged from hospital after surgery’ https://t.co/Q1bIOzHcoh via @pinkvilla,0,791,0,,,,Mon Feb 07 09:11:58 +0000 2022,1490614300456620039
"RT @Cleavon_MD: 🕯️Moment of silence for 33 y.o. Dr. Li Wenliang, Ophthalmologist at Wuhan Central Hospital in China. On February 7, 2020 he…",0,142,0,,,,Mon Feb 07 09:11:58 +0000 2022,1490614301140611076
"RT @CaudeHenrion: EXIT la""vaccination,acte d'amour"":le vaccin n'empêche NI infection NI transmission NI les ""FORMES GRAVES""
Un fait établi…",0,174,0,,,,Mon Feb 07 09:11:58 +0000 2022,1490614301211738116
"RT @Poulin2012: 🔴 Condamné à payer 2,1 milliards $ aux victimes de son talc pour bébé cancérigène, Johnson &amp; Johnson a essayé un montage av…",0,3018,0,,,,Mon Feb 07 09:11:58 +0000 2022,1490614301920485378
"RT @manuid7: Los protocolos están para cumplirse, pero las personas están también para ser cuidadas y tratadas dignamente.

“Esto es planta…",0,3,0,,,,Mon Feb 07 09:11:58 +0000 2022,1490614302033817603
"RT @Medic4allHuman: Collusion 😏
 L'Université de Pennsylvanie, qui finance le groupe de réflexion de Biden et héberge https://t.co/Gx7he0V5…",0,437,0,,,,Mon Feb 07 09:11:58 +0000 2022,1490614302692233219
RT @Olympus2021: Hacen creer que los niños se contagian en las aulas de covid cuando en realidad enferman de resfriado provocado por las ba…,0,1931,0,,,,Mon Feb 07 09:11:58 +0000 2022,1490614303166246914
😂😂😂😂😂😂😂,0,35,0,,,,Mon Feb 07 09:11:58 +0000 2022,1490614303774416902
"RT @rob_buechner: People Rogan should have on immediately to further trigger the Neolib Legion of Karens:
1. RFK Jr to talk Fauci
2. Dr. Ba…",0,1768,0,,,,Mon Feb 07 09:11:59 +0000 2022,1490614304193851393
RT @Winter026: え！ヴィンス陽性。追加検査の結果待ち中。結果が陰性だったらSPで滑れる。,0,65,0,,,,Mon Feb 07 09:11:59 +0000 2022,1490614304290525186
Or ever. Who the f^^^ is suggesting that Covid zero is possible? https://t.co/1LxHTAOqBv https://t.co/LSFx4kAvyl,0,800,0,,,,Mon Feb 07 09:11:59 +0000 2022,1490614304558956546
RT @Anime: Natsuki Hanae resumed work on Monday after testing positive for COVID-19 on January 27. https://t.co/CzXLP8P1oF,0,7,0,,,,Mon Feb 07 09:11:59 +0000 2022,1490614305590501380
"RT @drfahrettinkoca: 22-28 Ocak arasında, 100.000 kişi içinde bir haftalık toplam yeni Covid-19 vaka sayısı il bazında neydi? Bilgiler, haf…",0,9,0,,,,Mon Feb 07 09:11:59 +0000 2022,1490614305674432514
@ariesfaerie93 Do u think that’s believable if I just had covid 🥺 my go to for these situations is say ur house has… https://t.co/QWCfqZUxiz,0,350,0,,,,Mon Feb 07 09:11:59 +0000 2022,1490614306228088832
